,,,,,,,,Active,,,,,Down,,,,
Date,Total Sats Launched,Disposal Complete,Total Down,Total In Orbit,Total Working,Gbps/Sat,Total Bandwidth in Orbit,V1,V1.5,V2 Mini,V2 Mini D2C,V2 Mini Opt,V1,V1.5,V2 Mini,V2 Mini D2C,V2 Mini Opt
9/30/2024,"7,062",392,636,"6,426","6,371",,193.45 Tbps,0,0,0,0,0,0,0,0,0,0
10/9/2024,"7,062",398,642,"6,420","6,362",30.4,193 Tbps,0,0,0,0,0,0,0,0,0,0
10/10/2024,"7,062",398,642,"6,420","6,362",30.4,193 Tbps,0,0,0,0,0,0,0,0,0,0
10/11/2024,"7,062.00",398,642,"6,420","6,362",30.4,193 Tbps,0,0,0,0,0,0,0,0,0,0
10/18/2024,7125,405,652,6473,6419,30.7,197 Tbps,0,0,0,0,0,0,0,0,0,0
10/25/2024,7125,405,652,6473,6419,30.7,197 Tbps,0,0,0,0,0,0,0,0,0,0
10/28/2024,7170,406,654,6516,6463,30.9,200 Tbps,1262,2836,2120,245,0,426,140,74,14,0
10/31/2024,7151,356,647,6557,6504,31.1,202 Tbps,1261,2836,2149,258,0,404,151,78,14,0
11/8/2024,7151,356,647,6557,6504,31.1,202 Tbps,1261,2836,2149,258,0,404,151,78,14,0
11/15/2024,7262,365,658,6656,6604,31.6,208 Tbps,1257,2834,2230,283,0,408,153,82,15,0
2024-11-22,7262,365,658,6656,6604,31.6,208 Tbps,1257,2834,2230,283,0,408,153,82,15,0
2024-11-29,7397,368,661,6785,6736,32.1,216 Tbps,1257,2833,2325,321,0,408,154,84,15,0
2024-12-06,7397,368,661,6785,6736,32.1,216 Tbps,1257,2833,2325,321,0,408,154,84,15,0
2024-12-18,7486,372,666,6866,6820,32.5,222 Tbps,1253,2833,2387,347,0,412,154,85,15,0
2024-12-20,7486,372,666,6866,6820,32.5,221.6 Tbps,1253,2833,2387,347,0,412,154,85,15,0
2024-12-27,7486,372,666,6866,6820,32.5,221.6 Tbps,1253,2833,2387,347,0,412,154,85,15,0
2025-01-03,7529,421,672,6854,6857,33.0,226.0 Tbps,1235,2803,2445,374,0,430,184,44,14,0
2025-01-10,7529,421,672,6854,6857,33.0,226.0 Tbps,1235,2803,2445,374,0,430,184,44,14,0
2025-01-17,7529,421,672,6854,6857,33.0,226.0 Tbps,1235,2803,2445,374,0,430,184,44,14,0
2025-01-24,7529,421,672,6854,6857,33.0,226.0 Tbps,1235,2803,2445,374,0,430,184,44,14,0
2025-01-31,7703,521,746,6924,6957,34.0,236.7 Tbps,1156,2783,2592,426,0,509,204,19,14,0
